id,text,file,node,lineNumber
line:5837f2,"Ship: Hey, friend.",Ship,Ship,7
line:ship9,"Player: Hi, Ship.",Ship,Ship,8
line:ship10,Player: How's space?,Ship,Ship,9
line:ship11,"Ship: Oh, man.",Ship,Ship,10
line:ship12,Ship: It's HUGE!,Ship,Ship,12
line:ship13,Ship: Hey!!,Ship,Ship,16
line:ship1,Player: Sally said you wanted to see me?,Ship,Ship,21
line:ship3,Ship: She totally did!!,Ship,Ship,23
line:ship4,Ship: She wanted me to tell you...,Ship,Ship,25
line:ship5,Ship: If you ever go off-watch without resetting the console again...,Ship,Ship,26
line:ship6,Ship: She'll flay you alive!,Ship,Ship,28
line:ship7,Player: Uh.,Ship,Ship,31
